price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd
640000,13/7/16,St Clair,1,3,6,574,House,19897,38896,7.204,-33.79794,150.78794,59,1.75,159.3,39.76
721000,20/7/16,St Clair,3,4,1,629,House,19897,38896,7.204,-33.79794,150.78794,59,1.75,159.3,39.76
580000,28/7/16,St Clair,1,3,2,627,House,19897,38896,7.204,-33.79794,150.78794,59,1.75,159.3,39.76
850000,16/8/16,St Clair,3,5,4,672,House,19897,38896,7.204,-33.79794,150.78794,59,1.52,159.3,39.76
720000,8/10/16,St Clair,2,4,2,800,House,19897,38896,7.204,-33.79794,150.78794,59,1.52,159.3,39.76
833000,7/11/16,St Clair,3,5,3,869,House,19897,38896,7.204,-33.79794,150.78794,59,1.75,159.3,39.76
720000,7/12/16,St Clair,2,4,4,802,House,19897,38896,7.204,-33.79794,150.78794,59,1.75,159.3,39.76
740000,20/12/17,St Clair,2,4,3,655,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
720000,20/12/17,St Clair,2,4,3,639,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
710000,22/12/17,St Clair,1,3,4,637,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
915000,29/12/17,St Clair,2,5,2,627,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
680000,30/1/18,St Clair,1,3,2,625,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
660000,31/1/18,St Clair,3,6,2,565,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
685000,13/2/18,St Clair,1,3,2,560,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
780000,1/10/18,St Clair,2,3,4,800,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
645000,2/12/18,St Clair,2,3,2,573,House,19897,38896,7.204,-33.79794,150.78794,59,1.5,171.9,39.76
635000,13/8/19,St Clair,1,3,4,626,House,19897,38896,7.204,-33.79794,150.78794,59,1,159,39.76
965000,23/8/19,St Clair,4,5,2,641,House,19897,38896,7.204,-33.79794,150.78794,59,1,159,39.76
780000,23/8/19,St Clair,3,4,2,630,House,19897,38896,7.204,-33.79794,150.78794,59,1,159,39.76
710000,18/9/19,St Clair,2,4,2,629,House,19897,38896,7.204,-33.79794,150.78794,59,1,166.4,39.76
622000,18/9/19,St Clair,1,4,3,637,House,19897,38896,7.204,-33.79794,150.78794,59,1,166.4,39.76
610000,9/11/19,St Clair,1,3,0,635,House,19897,38896,7.204,-33.79794,150.78794,59,1,166.4,39.76
650000,9/12/19,St Clair,2,3,2,645,House,19897,38896,7.204,-33.79794,150.78794,59,1,166.4,39.76
795000,12/10/20,St Clair,1,3,2,845,House,19897,38896,7.204,-33.79794,150.78794,59,0.1,183.1,39.76
653000,19/11/20,St Clair,1,3,1,396,House,19897,38896,7.204,-33.79794,150.78794,59,0.11,172.6,39.76
710500,23/11/20,St Clair,2,3,2,646,House,19897,38896,7.204,-33.79794,150.78794,59,0.11,172.6,39.76
780000,14/12/20,St Clair,1,3,2,803,House,19897,38896,7.204,-33.79794,150.78794,59,0.1,183.1,39.76
705000,15/12/20,St Clair,1,3,3,631,House,19897,38896,7.204,-33.79794,150.78794,59,0.1,183.1,39.76
795000,21/12/20,St Clair,2,4,1,629,House,19897,38896,7.204,-33.79794,150.78794,59,0.1,183.1,39.76
